userId,movieId,rating,timestamp
1,1,4.0,964982703
1,3,4.0,964981247
1,6,4.0,964982224
1,12,3.5,964982703
1,25,5.0,964983815
1,50,5.0,964982931
1,77,4.0,964982555
1,95,3.0,964983000
1,100,4.0,964982111
2,5,5.0,964982931
2,10,4.0,964981179
2,17,5.0,964982400
2,21,4.5,964983815
2,31,4.0,964983001
2,47,5.0,964982666
2,68,4.0,964981900
2,73,4.5,964983333
2,89,5.0,964982999
3,4,3.5,964982400
3,8,3.0,964982931
3,16,4.0,964983815
3,33,2.5,964981179
3,45,4.5,964982703
3,51,3.0,964982511
3,68,4.0,964983199
3,75,4.5,964982777
3,92,3.5,964983888
4,2,5.0,964982931
4,6,4.0,964981179
4,9,4.0,964982224
4,18,3.5,964982931
4,34,4.5,964983815
4,40,4.0,964983900
4,60,3.5,964982666
4,66,4.0,964981333
4,88,4.5,964982999
5,7,5.0,964982703
5,11,4.0,964982931
5,22,4.5,964982224
5,36,3.5,964981247
5,49,4.0,964983815
5,55,4.5,964982911
5,70,5.0,964983111
5,83,4.0,964982999
5,99,4.5,964983000
6,4,4.5,964982931
6,5,5.0,964982703
6,10,3.5,964982224
6,28,4.0,964981179
6,38,5.0,964983815
6,46,4.0,964982511
6,59,4.5,964983777
6,71,3.5,964982999
6,84,4.0,964982333
7,3,4.5,964982931
7,7,4.0,964981247
7,9,3.5,964982224
7,15,4.0,964983815
7,21,4.5,964982931
7,35,3.5,964983001
7,47,4.5,964982900
7,63,4.0,964982555
7,74,4.0,964983444
8,6,4.0,964981179
8,12,3.0,964982703
8,20,5.0,964983815
8,27,4.0,964982224
8,33,3.5,964982931
8,45,4.0,964981247
8,54,4.5,964982703
8,67,5.0,964982224
8,93,3.5,964982931
9,10,3.5,964982400
9,13,4.5,964982703
9,24,3.0,964983000
9,31,4.0,964982333
9,40,4.0,964981179
9,52,3.5,964982224
9,70,4.0,964982703
9,75,4.5,964983815
9,91,5.0,964982999
10,2,4.5,964982703
10,8,5.0,964982224
10,14,4.0,964982931
10,21,3.5,964981179
10,32,5.0,964983815
10,50,4.5,964983000
10,56,4.0,964981333
10,68,3.5,964982511
10,73,4.0,964982777
11,9,3.0,964981179
11,11,4.5,964982224
11,19,5.0,964982931
11,28,4.5,964981333
11,37,4.0,964982777
11,46,3.5,964982224
11,59,4.0,964983815
11,63,4.5,964982931
11,80,4.0,964981247
12,18,3.0,964982703
12,20,5.0,964983815
12,24,4.0,964982224
12,27,3.5,964982931
12,39,4.0,964981247
12,48,4.5,964982703
12,61,5.0,964982224
12,79,3.5,964982931
12,87,4.0,964983815
13,31,4.5,964982703
13,41,5.0,964982224
13,42,4.0,964982931
13,44,3.5,964981179
13,49,5.0,964983815
13,50,4.0,964983111
13,51,5.0,964982222
13,53,4.5,964983333
13,55,5.0,964982444
14,29,3.5,964982400
14,30,3.0,964982931
14,34,4.0,964983815
14,39,2.5,964981179
14,43,4.5,964982703
14,54,4.0,964982511
14,65,4.5,964982777
14,72,4.0,964983888
14,90,3.5,964982999
15,76,5.0,964982703
15,78,4.0,964982931
15,80,4.5,964982224
15,82,3.5,964981247
15,85,4.0,964983815
15,88,4.5,964982911
15,89,5.0,964983111
15,95,4.0,964982999
15,99,4.5,964983000
16,8,4.5,964982931
16,10,5.0,964982703
16,13,3.5,964982224
16,17,4.0,964981179
16,23,5.0,964983815
16,28,4.0,964982511
16,35,4.5,964983777
16,42,3.5,964982999
16,60,4.0,964982333
17,4,4.5,964982931
17,7,4.0,964981247
17,9,3.5,964982224
17,15,4.0,964983815
17,19,4.5,964982931
17,22,3.5,964983001
17,25,4.5,964982900
17,27,4.0,964982555
17,30,4.0,964983444
18,11,4.0,964981179
18,13,3.0,964982703
18,20,5.0,964983815
18,23,4.0,964982224
18,31,3.5,964982931
18,33,4.0,964981247
18,36,4.5,964982703
18,38,5.0,964982224
18,40,3.5,964982931
19,5,4.5,964982703
19,6,5.0,964982224
19,7,4.0,964982931
19,8,3.5,964981179
19,9,5.0,964983815
19,10,4.5,964983000
19,12,4.0,964981333
19,14,3.5,964982511
19,15,4.0,964982777
20,2,3.0,964981179
20,4,4.5,964982224
20,6,5.0,964982931
20,9,4.5,964981333
20,12,4.0,964982777
20,15,3.5,964982224
20,18,4.0,964983815
20,21,4.5,964982931
20,24,4.0,964981247
